,,weights,values,capacity,distribution
0,75,18,121,3671,exponential
0,76,5,6,3671,exponential
0,77,5,45,3671,exponential
0,78,0,30,3671,exponential
0,79,7,40,3671,exponential
0,80,6,21,3671,exponential
0,81,14,23,3671,exponential
0,82,53,11,3671,exponential
0,83,25,37,3671,exponential
0,84,62,71,3671,exponential
0,85,44,24,3671,exponential
0,86,5,19,3671,exponential
0,87,29,28,3671,exponential
0,88,20,58,3671,exponential
0,89,12,5,3671,exponential
0,90,1,0,3671,exponential
0,91,35,67,3671,exponential
0,92,3,15,3671,exponential
0,93,93,48,3671,exponential
0,94,48,160,3671,exponential
0,95,39,12,3671,exponential
0,96,4,25,3671,exponential
0,97,47,42,3671,exponential
0,98,9,73,3671,exponential
0,99,13,1,3671,exponential
1,0,4,46,4503,uniform
1,1,41,89,4503,uniform
1,2,54,69,4503,uniform
1,3,75,43,4503,uniform
1,4,31,12,4503,uniform
1,5,21,40,4503,uniform
1,6,41,29,4503,uniform
1,7,53,27,4503,uniform
1,8,39,29,4503,uniform
1,9,12,94,4503,uniform
1,10,33,34,4503,uniform
1,11,11,25,4503,uniform
1,12,45,9,4503,uniform
1,13,75,48,4503,uniform
1,14,87,47,4503,uniform
1,15,49,35,4503,uniform
1,16,73,44,4503,uniform
1,17,79,12,4503,uniform
1,18,28,13,4503,uniform
1,19,53,53,4503,uniform
1,20,10,68,4503,uniform
1,21,57,8,4503,uniform
1,22,68,9,4503,uniform
1,23,8,23,4503,uniform
1,24,41,28,4503,uniform
1,25,71,90,4503,uniform
1,26,41,73,4503,uniform
1,27,56,82,4503,uniform
1,28,27,75,4503,uniform
1,29,99,31,4503,uniform
1,30,17,91,4503,uniform
1,31,46,1,4503,uniform
1,32,45,53,4503,uniform
1,33,36,17,4503,uniform
1,34,60,62,4503,uniform
1,35,42,55,4503,uniform
1,36,96,37,4503,uniform
1,37,13,95,4503,uniform
1,38,89,53,4503,uniform
1,39,88,38,4503,uniform
1,40,95,11,4503,uniform
1,41,84,36,4503,uniform
1,42,4,63,4503,uniform
1,43,99,86,4503,uniform
1,44,77,24,4503,uniform
1,45,40,81,4503,uniform
1,46,11,23,4503,uniform
1,47,3,18,4503,uniform
1,48,43,59,4503,uniform
1,49,8,38,4503,uniform
1,50,85,3,4503,uniform
1,51,31,63,4503,uniform
1,52,25,95,4503,uniform
1,53,98,70,4503,uniform
1,54,70,90,4503,uniform
1,55,86,9,4503,uniform
1,56,75,51,4503,uniform
1,57,56,8,4503,uniform
1,58,4,19,4503,uniform
1,59,19,80,4503,uniform
1,60,56,21,4503,uniform
1,61,39,71,4503,uniform
1,62,62,69,4503,uniform
1,63,68,89,4503,uniform
1,64,2,73,4503,uniform
1,65,22,76,4503,uniform
1,66,32,23,4503,uniform
1,67,67,89,4503,uniform
1,68,12,79,4503,uniform
1,69,76,16,4503,uniform
1,70,82,80,4503,uniform
1,71,84,24,4503,uniform
1,72,65,57,4503,uniform
1,73,95,16,4503,uniform
1,74,99,33,4503,uniform
1,75,43,49,4503,uniform
1,76,70,75,4503,uniform
1,77,46,17,4503,uniform
1,78,12,62,4503,uniform
1,79,39,5,4503,uniform
1,80,20,2,4503,uniform
1,81,75,76,4503,uniform
1,82,76,81,4503,uniform
1,83,93,64,4503,uniform
1,84,53,99,4503,uniform
1,85,12,85,4503,uniform
1,86,2,96,4503,uniform
1,87,38,75,4503,uniform
1,88,14,3,4503,uniform
1,89,44,13,4503,uniform
1,90,69,84,4503,uniform
1,91,43,80,4503,uniform
1,92,52,63,4503,uniform
1,93,37,40,4503,uniform
1,94,60,53,4503,uniform
1,95,80,58,4503,uniform
1,96,75,41,4503,uniform
1,97,95,29,4503,uniform
1,98,62,30,4503,uniform
1,99,20,52,4503,uniform
2,0,52,23,2981,uniform
2,1,37,73,2981,uniform
2,2,12,89,2981,uniform
2,3,16,23,2981,uniform
2,4,92,74,2981,uniform
2,5,98,88,2981,uniform
2,6,55,22,2981,uniform
2,7,81,37,2981,uniform
2,8,56,95,2981,uniform
2,9,20,39,2981,uniform
2,10,39,61,2981,uniform
2,11,20,92,2981,uniform
2,12,29,98,2981,uniform
2,13,72,92,2981,uniform
2,14,72,5,2981,uniform
2,15,51,4,2981,uniform
2,16,28,66,2981,uniform
2,17,28,11,2981,uniform
2,18,25,42,2981,uniform
2,19,43,96,2981,uniform
2,20,48,94,2981,uniform
2,21,72,67,2981,uniform
2,22,41,85,2981,uniform
2,23,48,30,2981,uniform
2,24,5,75,2981,uniform
2,25,17,56,2981,uniform
2,26,34,15,2981,uniform
2,27,13,24,2981,uniform
2,28,90,96,2981,uniform
2,29,43,43,2981,uniform
2,30,71,27,2981,uniform
2,31,78,59,2981,uniform
2,32,40,62,2981,uniform
2,33,32,50,2981,uniform
2,34,60,67,2981,uniform
2,35,15,50,2981,uniform
2,36,61,76,2981,uniform
2,37,54,84,2981,uniform
2,38,19,6,2981,uniform
2,39,8,72,2981,uniform
2,40,38,87,2981,uniform
2,41,29,88,2981,uniform
2,42,60,9,2981,uniform
2,43,20,81,2981,uniform
2,44,64,67,2981,uniform
2,45,40,82,2981,uniform
2,46,62,2,2981,uniform
2,47,64,58,2981,uniform
2,48,1,95,2981,uniform
2,49,66,64,2981,uniform
2,50,50,84,2981,uniform
2,51,75,47,2981,uniform
2,52,81,2,2981,uniform
2,53,64,71,2981,uniform
2,54,96,82,2981,uniform
2,55,39,93,2981,uniform
2,56,41,46,2981,uniform
2,57,93,49,2981,uniform
2,58,34,33,2981,uniform
2,59,34,79,2981,uniform
2,60,52,44,2981,uniform
2,61,11,69,2981,uniform
2,62,78,61,2981,uniform
2,63,89,72,2981,uniform
2,64,91,75,2981,uniform
2,65,8,55,2981,uniform
2,66,52,16,2981,uniform
2,67,40,92,2981,uniform
2,68,95,9,2981,uniform
2,69,37,16,2981,uniform
2,70,85,19,2981,uniform
2,71,72,33,2981,uniform
2,72,6,43,2981,uniform
2,73,59,12,2981,uniform
2,74,41,84,2981,uniform
2,75,56,40,2981,uniform
2,76,27,50,2981,uniform
2,77,29,4,2981,uniform
2,78,46,62,2981,uniform
2,79,15,98,2981,uniform
2,80,98,81,2981,uniform
2,81,88,91,2981,uniform
2,82,9,67,2981,uniform
2,83,58,32,2981,uniform
2,84,87,93,2981,uniform
2,85,71,46,2981,uniform
2,86,44,9,2981,uniform
2,87,47,60,2981,uniform
2,88,64,77,2981,uniform
2,89,25,60,2981,uniform
2,90,28,79,2981,uniform
2,91,42,34,2981,uniform
2,92,76,21,2981,uniform
2,93,42,60,2981,uniform
2,94,66,31,2981,uniform
2,95,30,27,2981,uniform
2,96,60,99,2981,uniform
2,97,77,60,2981,uniform
2,98,6,62,2981,uniform
2,99,80,41,2981,uniform
3,0,17,22,3308,exponential
3,1,1,24,3308,exponential
3,2,40,47,3308,exponential
3,3,9,53,3308,exponential
3,4,20,38,3308,exponential
3,5,63,9,3308,exponential
3,6,24,7,3308,exponential
3,7,11,20,3308,exponential
3,8,9,1,3308,exponential
3,9,75,10,3308,exponential
3,10,6,0,3308,exponential
3,11,46,32,3308,exponential
3,12,16,3,3308,exponential
3,13,29,1,3308,exponential
3,14,21,22,3308,exponential
3,15,20,30,3308,exponential
3,16,7,11,3308,exponential
3,17,25,8,3308,exponential
3,18,23,52,3308,exponential
3,19,6,81,3308,exponential
3,20,3,71,3308,exponential
3,21,60,30,3308,exponential
3,22,24,17,3308,exponential
3,23,11,2,3308,exponential
3,24,57,39,3308,exponential
3,25,106,85,3308,exponential
3,26,48,9,3308,exponential
3,27,28,34,3308,exponential
3,28,9,63,3308,exponential
3,29,13,132,3308,exponential
3,30,44,32,3308,exponential
3,31,22,51,3308,exponential
3,32,2,9,3308,exponential
3,33,18,11,3308,exponential
3,34,88,3,3308,exponential
3,35,28,22,3308,exponential
3,36,23,44,3308,exponential
3,37,72,38,3308,exponential
3,38,47,50,3308,exponential
3,39,65,69,3308,exponential
3,40,59,32,3308,exponential
3,41,30,14,3308,exponential
3,42,54,24,3308,exponential
3,43,0,34,3308,exponential
3,44,7,43,3308,exponential
3,45,4,18,3308,exponential
3,46,29,16,3308,exponential
3,47,119,19,3308,exponential
3,48,74,124,3308,exponential
3,49,25,11,3308,exponential
3,50,6,42,3308,exponential
3,51,16,16,3308,exponential
3,52,46,26,3308,exponential
3,53,4,52,3308,exponential
3,54,4,13,3308,exponential
3,55,13,86,3308,exponential
3,56,97,92,3308,exponential
3,57,13,26,3308,exponential
3,58,30,14,3308,exponential
3,59,55,85,3308,exponential
3,60,9,17,3308,exponential
3,61,13,47,3308,exponential
3,62,43,39,3308,exponential
3,63,63,84,3308,exponential
3,64,2,6,3308,exponential
3,65,2,7,3308,exponential
3,66,22,71,3308,exponential
3,67,15,10,3308,exponential
3,68,50,32,3308,exponential
3,69,39,3,3308,exponential
3,70,37,1,3308,exponential
3,71,24,52,3308,exponential
3,72,91,1,3308,exponential
3,73,77,10,3308,exponential
3,74,0,75,3308,exponential
3,75,19,50,3308,exponential
3,76,27,34,3308,exponential
3,77,31,15,3308,exponential
3,78,63,34,3308,exponential
3,79,68,76,3308,exponential
3,80,2,29,3308,exponential
3,81,43,12,3308,exponential
3,82,2,29,3308,exponential
3,83,28,32,3308,exponential
3,84,53,2,3308,exponential
3,85,18,31,3308,exponential
3,86,24,7,3308,exponential
3,87,69,36,3308,exponential
3,88,27,24,3308,exponential
3,89,64,17,3308,exponential
3,90,26,6,3308,exponential
3,91,17,16,3308,exponential
3,92,52,14,3308,exponential
3,93,1,4,3308,exponential
3,94,38,83,3308,exponential
3,95,3,43,3308,exponential
3,96,29,6,3308,exponential
3,97,27,10,3308,exponential
3,98,77,66,3308,exponential
3,99,4,28,3308,exponential
4,0,80,59,2748,normal
4,1,14,31,2748,normal
4,2,38,59,2748,normal
4,3,40,45,2748,normal
4,4,67,69,2748,normal
4,5,26,72,2748,normal
4,6,46,60,2748,normal
4,7,31,83,2748,normal
4,8,35,57,2748,normal
4,9,60,9,2748,normal
4,10,56,39,2748,normal
4,11,38,44,2748,normal
4,12,81,76,2748,normal
4,13,72,62,2748,normal
4,14,61,28,2748,normal
4,15,63,45,2748,normal
4,16,43,42,2748,normal
4,17,58,47,2748,normal
4,18,64,49,2748,normal
4,19,63,37,2748,normal
4,20,31,60,2748,normal
4,21,65,50,2748,normal
4,22,36,34,2748,normal
4,23,42,50,2748,normal
4,24,32,45,2748,normal
4,25,74,48,2748,normal
4,26,47,37,2748,normal
4,27,38,41,2748,normal
4,28,48,68,2748,normal
4,29,54,17,2748,normal
4,30,56,39,2748,normal
4,31,33,58,2748,normal
4,32,21,51,2748,normal
4,33,61,29,2748,normal
4,34,36,48,2748,normal
4,35,41,41,2748,normal
4,36,44,47,2748,normal
4,37,30,9,2748,normal
4,38,35,43,2748,normal
4,39,67,28,2748,normal
4,40,43,25,2748,normal
4,41,72,56,2748,normal
4,42,50,44,2748,normal
4,43,40,50,2748,normal
4,44,49,19,2748,normal
4,45,78,57,2748,normal
4,46,38,39,2748,normal
4,47,32,55,2748,normal
4,48,47,20,2748,normal
4,49,65,52,2748,normal
4,50,46,39,2748,normal
4,51,57,47,2748,normal
4,52,70,35,2748,normal
4,53,37,52,2748,normal
4,54,46,47,2748,normal
4,55,56,47,2748,normal
4,56,64,84,2748,normal
4,57,53,51,2748,normal
4,58,70,50,2748,normal
4,59,38,42,2748,normal
4,60,47,76,2748,normal
4,61,67,79,2748,normal
4,62,46,56,2748,normal
4,63,49,70,2748,normal
4,64,56,55,2748,normal
4,65,52,69,2748,normal
4,66,21,57,2748,normal
4,67,47,49,2748,normal
4,68,47,33,2748,normal
4,69,54,40,2748,normal
4,70,65,54,2748,normal
4,71,36,43,2748,normal
4,72,38,47,2748,normal
4,73,77,39,2748,normal
4,74,59,68,2748,normal
4,75,62,67,2748,normal
4,76,14,37,2748,normal
4,77,44,33,2748,normal
4,78,28,47,2748,normal
4,79,44,66,2748,normal
4,80,66,42,2748,normal
4,81,40,47,2748,normal
4,82,43,45,2748,normal
4,83,65,48,2748,normal
4,84,63,68,2748,normal
4,85,38,72,2748,normal
4,86,68,58,2748,normal
4,87,57,25,2748,normal
4,88,85,42,2748,normal
4,89,49,56,2748,normal
4,90,37,63,2748,normal
4,91,63,29,2748,normal
4,92,40,41,2748,normal
4,93,40,89,2748,normal
4,94,44,39,2748,normal
4,95,28,68,2748,normal
4,96,75,47,2748,normal
4,97,34,58,2748,normal
4,98,50,40,2748,normal
4,99,41,81,2748,normal
5,0,72,8,3946,uniform
5,1,15,55,3946,uniform
5,2,64,58,3946,uniform
5,3,99,6,3946,uniform
5,4,21,13,3946,uniform
5,5,3,16,3946,uniform
5,6,19,24,3946,uniform
5,7,92,63,3946,uniform
5,8,53,15,3946,uniform
5,9,9,59,3946,uniform
5,10,40,92,3946,uniform
5,11,61,47,3946,uniform
5,12,11,13,3946,uniform
5,13,47,18,3946,uniform
5,14,70,87,3946,uniform
5,15,84,27,3946,uniform
5,16,23,85,3946,uniform
5,17,90,9,3946,uniform
5,18,74,6,3946,uniform
5,19,89,6,3946,uniform
5,20,69,40,3946,uniform
5,21,77,37,3946,uniform
5,22,60,67,3946,uniform
5,23,92,71,3946,uniform
5,24,7,8,3946,uniform
5,25,76,10,3946,uniform
5,26,63,77,3946,uniform
5,27,80,93,3946,uniform
5,28,38,91,3946,uniform
5,29,40,9,3946,uniform
5,30,85,86,3946,uniform
5,31,64,54,3946,uniform
5,32,42,75,3946,uniform
5,33,3,89,3946,uniform
5,34,5,73,3946,uniform
5,35,72,57,3946,uniform
5,36,58,84,3946,uniform
5,37,83,50,3946,uniform
5,38,40,83,3946,uniform
5,39,98,42,3946,uniform
5,40,54,67,3946,uniform
5,41,64,7,3946,uniform
5,42,79,60,3946,uniform
5,43,53,1,3946,uniform
5,44,75,73,3946,uniform
5,45,72,62,3946,uniform
5,46,20,3,3946,uniform
5,47,51,50,3946,uniform
5,48,55,23,3946,uniform
5,49,19,15,3946,uniform
5,50,70,13,3946,uniform
5,51,95,10,3946,uniform
5,52,93,23,3946,uniform
5,53,97,16,3946,uniform
5,54,69,78,3946,uniform
5,55,18,48,3946,uniform
5,56,11,95,3946,uniform
5,57,59,85,3946,uniform
5,58,49,53,3946,uniform
5,59,55,52,3946,uniform
5,60,63,3,3946,uniform
5,61,30,51,3946,uniform
5,62,68,54,3946,uniform
5,63,33,18,3946,uniform
5,64,41,17,3946,uniform
5,65,3,38,3946,uniform
5,66,8,42,3946,uniform
5,67,44,1,3946,uniform
5,68,33,69,3946,uniform
5,69,32,67,3946,uniform
5,70,13,53,3946,uniform
5,71,87,11,3946,uniform
5,72,84,76,3946,uniform
5,73,83,7,3946,uniform
5,74,30,82,3946,uniform
5,75,63,36,3946,uniform
5,76,91,79,3946,uniform
5,77,40,20,3946,uniform
5,78,47,75,3946,uniform
5,79,25,41,3946,uniform
5,80,57,62,3946,uniform
5,81,17,29,3946,uniform
5,82,30,69,3946,uniform
5,83,44,91,3946,uniform
5,84,14,44,3946,uniform
5,85,52,5,3946,uniform
5,86,57,54,3946,uniform
5,87,3,29,3946,uniform
5,88,19,37,3946,uniform
5,89,92,60,3946,uniform
5,90,38,15,3946,uniform
5,91,40,47,3946,uniform
5,92,25,69,3946,uniform
5,93,15,31,3946,uniform
5,94,86,90,3946,uniform
5,95,37,75,3946,uniform
5,96,75,83,3946,uniform
5,97,55,77,3946,uniform
5,98,98,60,3946,uniform
5,99,17,93,3946,uniform
6,0,73,9,4738,uniform
6,1,97,40,4738,uniform
6,2,40,18,4738,uniform
6,3,74,63,4738,uniform
6,4,19,30,4738,uniform
6,5,54,45,4738,uniform
6,6,11,41,4738,uniform
6,7,38,80,4738,uniform
6,8,25,83,4738,uniform
6,9,41,12,4738,uniform
6,10,41,84,4738,uniform
6,11,57,41,4738,uniform
6,12,35,17,4738,uniform
6,13,94,56,4738,uniform
6,14,24,16,4738,uniform
6,15,60,24,4738,uniform
6,16,55,97,4738,uniform
6,17,53,85,4738,uniform
6,18,6,29,4738,uniform
6,19,49,47,4738,uniform
6,20,87,28,4738,uniform
6,21,90,86,4738,uniform
6,22,98,46,4738,uniform
6,23,69,8,4738,uniform
6,24,23,52,4738,uniform
6,25,39,20,4738,uniform
6,26,16,42,4738,uniform
6,27,66,67,4738,uniform
6,28,40,98,4738,uniform
6,29,84,16,4738,uniform
6,30,8,98,4738,uniform
6,31,82,88,4738,uniform
6,32,52,55,4738,uniform
6,33,44,42,4738,uniform
6,34,32,58,4738,uniform
6,35,20,66,4738,uniform
6,36,54,64,4738,uniform
6,37,87,50,4738,uniform
6,38,28,54,4738,uniform
6,39,26,52,4738,uniform
6,40,74,4,4738,uniform
6,41,73,32,4738,uniform
6,42,94,70,4738,uniform
6,43,47,97,4738,uniform
6,44,45,67,4738,uniform
6,45,79,82,4738,uniform
6,46,79,47,4738,uniform
6,47,27,85,4738,uniform
6,48,35,64,4738,uniform
6,49,24,45,4738,uniform
6,50,77,28,4738,uniform
6,51,84,42,4738,uniform
6,52,86,26,4738,uniform
6,53,38,96,4738,uniform
6,54,1,68,4738,uniform
6,55,97,48,4738,uniform
6,56,55,65,4738,uniform
6,57,41,66,4738,uniform
6,58,84,89,4738,uniform
6,59,28,15,4738,uniform
6,60,51,47,4738,uniform
6,61,27,59,4738,uniform
6,62,78,66,4738,uniform
6,63,34,54,4738,uniform
6,64,77,37,4738,uniform
6,65,27,73,4738,uniform
6,66,68,33,4738,uniform
6,67,13,10,4738,uniform
6,68,40,56,4738,uniform
6,69,27,26,4738,uniform
6,70,56,93,4738,uniform
6,71,23,71,4738,uniform
6,72,71,74,4738,uniform
6,73,82,32,4738,uniform
6,74,52,98,4738,uniform
6,75,79,99,4738,uniform
6,76,37,67,4738,uniform
6,77,78,10,4738,uniform
6,78,40,99,4738,uniform
6,79,97,24,4738,uniform
6,80,68,84,4738,uniform
6,81,21,41,4738,uniform
6,82,69,52,4738,uniform
6,83,19,29,4738,uniform
6,84,51,26,4738,uniform
6,85,6,19,4738,uniform
6,86,14,81,4738,uniform
6,87,59,55,4738,uniform
6,88,99,63,4738,uniform
6,89,58,64,4738,uniform
6,90,94,23,4738,uniform
6,91,24,21,4738,uniform
6,92,94,8,4738,uniform
6,93,2,27,4738,uniform
6,94,89,15,4738,uniform
6,95,47,20,4738,uniform
6,96,65,50,4738,uniform
6,97,25,1,4738,uniform
6,98,90,63,4738,uniform
6,99,2,54,4738,uniform
7,0,32,58,3674,exponential
7,1,28,41,3674,exponential
7,2,37,0,3674,exponential
7,3,96,30,3674,exponential
7,4,35,36,3674,exponential
7,5,54,80,3674,exponential
7,6,72,48,3674,exponential
7,7,61,82,3674,exponential
7,8,56,5,3674,exponential
7,9,49,91,3674,exponential
7,10,23,50,3674,exponential
7,11,58,31,3674,exponential
7,12,6,69,3674,exponential
7,13,113,16,3674,exponential
7,14,1,29,3674,exponential
7,15,19,86,3674,exponential
7,16,23,69,3674,exponential
7,17,1,17,3674,exponential
7,18,91,44,3674,exponential
7,19,63,11,3674,exponential
7,20,81,4,3674,exponential
7,21,43,38,3674,exponential
7,22,238,162,3674,exponential
7,23,6,9,3674,exponential
7,24,35,60,3674,exponential
7,25,39,21,3674,exponential
7,26,8,4,3674,exponential
7,27,19,35,3674,exponential
7,28,9,123,3674,exponential
7,29,1,26,3674,exponential
7,30,5,26,3674,exponential
7,31,4,15,3674,exponential
7,32,46,5,3674,exponential
7,33,16,17,3674,exponential
7,34,15,69,3674,exponential
7,35,14,0,3674,exponential
7,36,0,9,3674,exponential
7,37,12,14,3674,exponential
7,38,30,9,3674,exponential
7,39,35,34,3674,exponential
7,40,7,46,3674,exponential
7,41,11,63,3674,exponential
7,42,10,34,3674,exponential
7,43,9,18,3674,exponential
7,44,9,66,3674,exponential
7,45,33,27,3674,exponential
7,46,60,41,3674,exponential
7,47,14,22,3674,exponential
7,48,3,15,3674,exponential
7,49,11,17,3674,exponential
7,50,1,0,3674,exponential
7,51,52,36,3674,exponential
7,52,42,68,3674,exponential
7,53,21,5,3674,exponential
7,54,11,81,3674,exponential
7,55,34,28,3674,exponential
7,56,37,28,3674,exponential
7,57,11,21,3674,exponential
7,58,23,30,3674,exponential
7,59,40,41,3674,exponential
7,60,2,29,3674,exponential
7,61,21,20,3674,exponential
7,62,63,28,3674,exponential
7,63,21,9,3674,exponential
7,64,46,52,3674,exponential
7,65,46,20,3674,exponential
7,66,59,70,3674,exponential
7,67,24,41,3674,exponential
7,68,3,9,3674,exponential
7,69,2,105,3674,exponential
7,70,28,19,3674,exponential
7,71,39,38,3674,exponential
7,72,5,36,3674,exponential
7,73,22,94,3674,exponential
7,74,0,105,3674,exponential
7,75,11,51,3674,exponential
7,76,67,18,3674,exponential
7,77,7,3,3674,exponential
7,78,46,37,3674,exponential
7,79,9,1,3674,exponential
7,80,15,15,3674,exponential
7,81,25,1,3674,exponential
7,82,4,23,3674,exponential
7,83,18,28,3674,exponential
7,84,6,28,3674,exponential
7,85,55,10,3674,exponential
7,86,112,36,3674,exponential
7,87,35,48,3674,exponential
7,88,63,3,3674,exponential
7,89,40,9,3674,exponential
7,90,19,33,3674,exponential
7,91,12,9,3674,exponential
7,92,39,16,3674,exponential
7,93,74,12,3674,exponential
7,94,13,144,3674,exponential
7,95,84,0,3674,exponential
7,96,2,63,3674,exponential
7,97,76,2,3674,exponential
7,98,22,22,3674,exponential
7,99,2,2,3674,exponential
8,0,30,88,4836,uniform
8,1,81,13,4836,uniform
8,2,13,96,4836,uniform
8,3,59,69,4836,uniform
8,4,80,38,4836,uniform
8,5,34,54,4836,uniform
8,6,70,70,4836,uniform
8,7,56,87,4836,uniform
8,8,94,75,4836,uniform
8,9,62,96,4836,uniform
8,10,68,24,4836,uniform
8,11,62,61,4836,uniform
8,12,79,69,4836,uniform
8,13,93,10,4836,uniform
8,14,9,66,4836,uniform
8,15,29,50,4836,uniform
8,16,80,72,4836,uniform
8,17,18,80,4836,uniform
8,18,88,42,4836,uniform
8,19,4,14,4836,uniform
8,20,67,32,4836,uniform
8,21,51,32,4836,uniform
8,22,12,86,4836,uniform
8,23,40,81,4836,uniform
8,24,37,7,4836,uniform
8,25,71,19,4836,uniform
8,26,9,22,4836,uniform
8,27,9,60,4836,uniform
8,28,24,25,4836,uniform
8,29,66,89,4836,uniform
8,30,55,99,4836,uniform
8,31,77,85,4836,uniform
8,32,26,75,4836,uniform
8,33,77,61,4836,uniform
8,34,50,27,4836,uniform
8,35,91,17,4836,uniform
8,36,26,79,4836,uniform
8,37,8,94,4836,uniform
8,38,98,85,4836,uniform
8,39,86,88,4836,uniform
8,40,9,53,4836,uniform
8,41,92,18,4836,uniform
8,42,79,83,4836,uniform
8,43,47,24,4836,uniform
8,44,45,84,4836,uniform
8,45,71,23,4836,uniform
8,46,16,64,4836,uniform
8,47,73,7,4836,uniform
8,48,51,32,4836,uniform
8,49,13,89,4836,uniform
8,50,64,66,4836,uniform
8,51,35,2,4836,uniform
8,52,61,64,4836,uniform
8,53,38,41,4836,uniform
8,54,88,16,4836,uniform
8,55,51,11,4836,uniform
8,56,42,61,4836,uniform
8,57,64,38,4836,uniform
8,58,37,2,4836,uniform
8,59,83,96,4836,uniform
8,60,7,65,4836,uniform
8,61,49,6,4836,uniform
8,62,49,82,4836,uniform
8,63,50,76,4836,uniform
8,64,50,71,4836,uniform
8,65,41,74,4836,uniform
8,66,79,52,4836,uniform
8,67,54,2,4836,uniform
8,68,45,36,4836,uniform
8,69,72,84,4836,uniform
8,70,29,95,4836,uniform
8,71,96,57,4836,uniform
8,72,14,94,4836,uniform
8,73,84,12,4836,uniform
8,74,74,69,4836,uniform
8,75,96,99,4836,uniform
8,76,38,79,4836,uniform
8,77,33,68,4836,uniform
8,78,95,71,4836,uniform
8,79,90,81,4836,uniform
8,80,5,20,4836,uniform
8,81,39,25,4836,uniform
8,82,98,25,4836,uniform
8,83,22,35,4836,uniform
8,84,7,8,4836,uniform
8,85,60,56,4836,uniform
8,86,20,34,4836,uniform
8,87,2,67,4836,uniform
8,88,7,39,4836,uniform
8,89,63,42,4836,uniform
8,90,64,95,4836,uniform
8,91,34,34,4836,uniform
8,92,71,12,4836,uniform
8,93,24,46,4836,uniform
8,94,62,11,4836,uniform
8,95,11,25,4836,uniform
8,96,54,72,4836,uniform
8,97,20,39,4836,uniform
8,98,61,65,4836,uniform
8,99,19,50,4836,uniform
9,0,12,93,3919,uniform
9,1,65,64,3919,uniform
9,2,78,68,3919,uniform
9,3,69,35,3919,uniform
9,4,47,33,3919,uniform
9,5,60,59,3919,uniform
9,6,6,25,3919,uniform
9,7,18,81,3919,uniform
9,8,31,31,3919,uniform
9,9,41,31,3919,uniform
9,10,26,2,3919,uniform
9,11,97,53,3919,uniform
9,12,31,25,3919,uniform
9,13,50,88,3919,uniform
9,14,39,16,3919,uniform
9,15,34,72,3919,uniform
9,16,13,34,3919,uniform
9,17,61,19,3919,uniform
9,18,44,62,3919,uniform
9,19,21,93,3919,uniform
9,20,87,48,3919,uniform
9,21,27,21,3919,uniform
9,22,6,37,3919,uniform
9,23,44,31,3919,uniform
9,24,4,71,3919,uniform
9,25,98,34,3919,uniform
9,26,83,53,3919,uniform
9,27,88,13,3919,uniform
9,28,9,81,3919,uniform
9,29,77,66,3919,uniform
9,30,42,45,3919,uniform
9,31,5,29,3919,uniform
9,32,41,33,3919,uniform
9,33,97,21,3919,uniform
9,34,74,71,3919,uniform
9,35,18,4,3919,uniform
9,36,51,71,3919,uniform
9,37,90,94,3919,uniform
