,,weights,values,capacity,distribution,instance_id
1,88,3,88,3170,uniform,1
1,89,1,53,3170,uniform,1
1,90,23,95,3170,uniform,1
1,91,6,95,3170,uniform,1
1,92,77,77,3170,uniform,1
1,93,51,84,3170,uniform,1
1,94,3,93,3170,uniform,1
1,95,10,81,3170,uniform,1
1,96,11,86,3170,uniform,1
1,97,18,56,3170,uniform,1
1,98,7,61,3170,uniform,1
1,99,21,59,3170,uniform,1
2,0,80,76,3208,uniform,2
2,1,52,67,3208,uniform,2
2,2,13,71,3208,uniform,2
2,3,13,97,3208,uniform,2
2,4,94,50,3208,uniform,2
2,5,4,71,3208,uniform,2
2,6,56,77,3208,uniform,2
2,7,10,82,3208,uniform,2
2,8,6,93,3208,uniform,2
2,9,1,63,3208,uniform,2
2,10,9,61,3208,uniform,2
2,11,20,56,3208,uniform,2
2,12,1,70,3208,uniform,2
2,13,5,60,3208,uniform,2
2,14,19,99,3208,uniform,2
2,15,5,50,3208,uniform,2
2,16,22,70,3208,uniform,2
2,17,95,90,3208,uniform,2
2,18,21,51,3208,uniform,2
2,19,14,71,3208,uniform,2
2,20,15,85,3208,uniform,2
2,21,15,91,3208,uniform,2
2,22,4,61,3208,uniform,2
2,23,64,58,3208,uniform,2
2,24,23,86,3208,uniform,2
2,25,1,52,3208,uniform,2
2,26,21,60,3208,uniform,2
2,27,5,91,3208,uniform,2
2,28,1,78,3208,uniform,2
2,29,4,95,3208,uniform,2
2,30,6,91,3208,uniform,2
2,31,16,97,3208,uniform,2
2,32,11,99,3208,uniform,2
2,33,12,57,3208,uniform,2
2,34,12,73,3208,uniform,2
2,35,10,93,3208,uniform,2
2,36,17,83,3208,uniform,2
2,37,22,93,3208,uniform,2
2,38,20,54,3208,uniform,2
2,39,16,63,3208,uniform,2
2,40,17,95,3208,uniform,2
2,41,13,81,3208,uniform,2
2,42,2,82,3208,uniform,2
2,43,14,94,3208,uniform,2
2,44,1,98,3208,uniform,2
2,45,12,94,3208,uniform,2
2,46,24,72,3208,uniform,2
2,47,7,82,3208,uniform,2
2,48,21,56,3208,uniform,2
2,49,5,73,3208,uniform,2
2,50,2,50,3208,uniform,2
2,51,5,60,3208,uniform,2
2,52,23,72,3208,uniform,2
2,53,2,62,3208,uniform,2
2,54,66,81,3208,uniform,2
2,55,22,87,3208,uniform,2
2,56,7,88,3208,uniform,2
2,57,15,97,3208,uniform,2
2,58,13,71,3208,uniform,2
2,59,10,73,3208,uniform,2
2,60,19,68,3208,uniform,2
2,61,9,68,3208,uniform,2
2,62,1,96,3208,uniform,2
2,63,5,96,3208,uniform,2
2,64,22,66,3208,uniform,2
2,65,57,86,3208,uniform,2
2,66,16,64,3208,uniform,2
2,67,3,57,3208,uniform,2
2,68,58,72,3208,uniform,2
2,69,18,98,3208,uniform,2
2,70,5,61,3208,uniform,2
2,71,23,59,3208,uniform,2
2,72,19,89,3208,uniform,2
2,73,17,94,3208,uniform,2
2,74,17,65,3208,uniform,2
2,75,22,92,3208,uniform,2
2,76,24,90,3208,uniform,2
2,77,13,88,3208,uniform,2
2,78,21,58,3208,uniform,2
2,79,19,89,3208,uniform,2
2,80,18,97,3208,uniform,2
2,81,6,96,3208,uniform,2
2,82,11,50,3208,uniform,2
2,83,89,81,3208,uniform,2
2,84,8,55,3208,uniform,2
2,85,7,95,3208,uniform,2
2,86,15,63,3208,uniform,2
2,87,1,82,3208,uniform,2
2,88,19,72,3208,uniform,2
2,89,20,80,3208,uniform,2
2,90,18,71,3208,uniform,2
2,91,13,84,3208,uniform,2
2,92,23,68,3208,uniform,2
2,93,23,84,3208,uniform,2
2,94,7,95,3208,uniform,2
2,95,10,68,3208,uniform,2
2,96,19,82,3208,uniform,2
2,97,2,96,3208,uniform,2
2,98,17,54,3208,uniform,2
2,99,20,89,3208,uniform,2
3,0,12,62,4901,uniform,3
3,1,6,57,4901,uniform,3
3,2,6,87,4901,uniform,3
3,3,15,99,4901,uniform,3
3,4,16,75,4901,uniform,3
3,5,5,83,4901,uniform,3
3,6,14,63,4901,uniform,3
3,7,24,89,4901,uniform,3
3,8,22,80,4901,uniform,3
3,9,21,50,4901,uniform,3
3,10,1,63,4901,uniform,3
3,11,3,95,4901,uniform,3
3,12,18,93,4901,uniform,3
3,13,22,76,4901,uniform,3
3,14,8,94,4901,uniform,3
3,15,15,55,4901,uniform,3
3,16,6,69,4901,uniform,3
3,17,14,95,4901,uniform,3
3,18,6,88,4901,uniform,3
3,19,24,89,4901,uniform,3
3,20,7,96,4901,uniform,3
3,21,22,94,4901,uniform,3
3,22,20,87,4901,uniform,3
3,23,24,77,4901,uniform,3
3,24,5,57,4901,uniform,3
3,25,71,65,4901,uniform,3
3,26,7,69,4901,uniform,3
3,27,5,71,4901,uniform,3
3,28,13,73,4901,uniform,3
3,29,8,91,4901,uniform,3
3,30,21,73,4901,uniform,3
3,31,10,75,4901,uniform,3
3,32,20,62,4901,uniform,3
3,33,12,58,4901,uniform,3
3,34,18,73,4901,uniform,3
3,35,51,72,4901,uniform,3
3,36,22,57,4901,uniform,3
3,37,16,81,4901,uniform,3
3,38,8,73,4901,uniform,3
3,39,13,65,4901,uniform,3
3,40,83,80,4901,uniform,3
3,41,13,84,4901,uniform,3
3,42,10,61,4901,uniform,3
3,43,99,60,4901,uniform,3
3,44,1,92,4901,uniform,3
3,45,23,74,4901,uniform,3
3,46,3,55,4901,uniform,3
3,47,22,67,4901,uniform,3
3,48,14,50,4901,uniform,3
3,49,2,51,4901,uniform,3
3,50,61,87,4901,uniform,3
3,51,63,82,4901,uniform,3
3,52,17,68,4901,uniform,3
3,53,21,60,4901,uniform,3
3,54,20,58,4901,uniform,3
3,55,7,99,4901,uniform,3
3,56,3,95,4901,uniform,3
3,57,21,80,4901,uniform,3
3,58,95,96,4901,uniform,3
3,59,12,98,4901,uniform,3
3,60,3,73,4901,uniform,3
3,61,9,64,4901,uniform,3
3,62,8,89,4901,uniform,3
3,63,7,54,4901,uniform,3
3,64,1,73,4901,uniform,3
3,65,18,82,4901,uniform,3
3,66,21,79,4901,uniform,3
3,67,13,78,4901,uniform,3
3,68,2,73,4901,uniform,3
3,69,17,57,4901,uniform,3
3,70,7,66,4901,uniform,3
3,71,14,96,4901,uniform,3
3,72,20,87,4901,uniform,3
3,73,23,80,4901,uniform,3
3,74,24,55,4901,uniform,3
3,75,24,66,4901,uniform,3
3,76,12,59,4901,uniform,3
3,77,21,55,4901,uniform,3
3,78,9,87,4901,uniform,3
3,79,8,72,4901,uniform,3
3,80,22,75,4901,uniform,3
3,81,19,73,4901,uniform,3
3,82,9,57,4901,uniform,3
3,83,12,87,4901,uniform,3
3,84,3,84,4901,uniform,3
3,85,18,54,4901,uniform,3
3,86,10,95,4901,uniform,3
3,87,4,90,4901,uniform,3
3,88,21,94,4901,uniform,3
3,89,2,66,4901,uniform,3
3,90,4,90,4901,uniform,3
3,91,89,50,4901,uniform,3
3,92,17,68,4901,uniform,3
3,93,83,95,4901,uniform,3
3,94,65,72,4901,uniform,3
3,95,15,64,4901,uniform,3
3,96,12,81,4901,uniform,3
3,97,24,90,4901,uniform,3
3,98,3,63,4901,uniform,3
3,99,21,64,4901,uniform,3
4,0,8,63,2939,normal,4
4,1,12,81,2939,normal,4
4,2,14,70,2939,normal,4
4,3,10,85,2939,normal,4
4,4,16,73,2939,normal,4
4,5,3,69,2939,normal,4
4,6,7,96,2939,normal,4
4,7,18,70,2939,normal,4
4,8,15,60,2939,normal,4
4,9,17,95,2939,normal,4
4,10,97,58,2939,normal,4
4,11,20,90,2939,normal,4
4,12,19,95,2939,normal,4
4,13,3,53,2939,normal,4
4,14,9,60,2939,normal,4
4,15,15,94,2939,normal,4
4,16,98,98,2939,normal,4
4,17,23,91,2939,normal,4
4,18,1,58,2939,normal,4
4,19,8,89,2939,normal,4
4,20,6,66,2939,normal,4
4,21,8,60,2939,normal,4
4,22,92,54,2939,normal,4
4,23,14,82,2939,normal,4
4,24,7,67,2939,normal,4
4,25,20,86,2939,normal,4
4,26,18,62,2939,normal,4
4,27,10,82,2939,normal,4
4,28,73,93,2939,normal,4
4,29,15,97,2939,normal,4
4,30,16,54,2939,normal,4
4,31,2,57,2939,normal,4
4,32,19,52,2939,normal,4
4,33,16,71,2939,normal,4
4,34,1,82,2939,normal,4
4,35,24,91,2939,normal,4
4,36,4,67,2939,normal,4
4,37,1,89,2939,normal,4
4,38,17,87,2939,normal,4
4,39,11,79,2939,normal,4
4,40,16,98,2939,normal,4
4,41,1,90,2939,normal,4
4,42,12,55,2939,normal,4
4,43,3,81,2939,normal,4
4,44,92,78,2939,normal,4
4,45,13,67,2939,normal,4
4,46,3,75,2939,normal,4
4,47,80,63,2939,normal,4
4,48,18,74,2939,normal,4
4,49,11,78,2939,normal,4
4,50,1,64,2939,normal,4
4,51,14,68,2939,normal,4
4,52,10,75,2939,normal,4
4,53,19,86,2939,normal,4
4,54,8,52,2939,normal,4
4,55,18,80,2939,normal,4
4,56,10,85,2939,normal,4
4,57,15,94,2939,normal,4
4,58,5,94,2939,normal,4
4,59,24,79,2939,normal,4
4,60,24,50,2939,normal,4
4,61,7,73,2939,normal,4
4,62,4,60,2939,normal,4
4,63,6,66,2939,normal,4
4,64,24,95,2939,normal,4
4,65,23,76,2939,normal,4
4,66,7,72,2939,normal,4
4,67,8,87,2939,normal,4
4,68,24,97,2939,normal,4
4,69,11,56,2939,normal,4
4,70,19,75,2939,normal,4
4,71,4,83,2939,normal,4
4,72,16,74,2939,normal,4
4,73,51,82,2939,normal,4
4,74,14,82,2939,normal,4
4,75,8,89,2939,normal,4
4,76,24,54,2939,normal,4
4,77,24,95,2939,normal,4
4,78,12,82,2939,normal,4
4,79,56,68,2939,normal,4
4,80,24,90,2939,normal,4
4,81,5,51,2939,normal,4
4,82,5,65,2939,normal,4
4,83,2,98,2939,normal,4
4,84,15,59,2939,normal,4
4,85,11,60,2939,normal,4
4,86,8,58,2939,normal,4
4,87,53,91,2939,normal,4
4,88,20,96,2939,normal,4
4,89,21,73,2939,normal,4
4,90,8,68,2939,normal,4
4,91,9,94,2939,normal,4
4,92,9,69,2939,normal,4
4,93,10,69,2939,normal,4
4,94,16,69,2939,normal,4
4,95,84,92,2939,normal,4
4,96,3,80,2939,normal,4
4,97,22,68,2939,normal,4
4,98,18,79,2939,normal,4
4,99,9,70,2939,normal,4
5,0,20,61,4564,exponential,5
5,1,9,74,4564,exponential,5
5,2,16,55,4564,exponential,5
5,3,10,86,4564,exponential,5
5,4,20,75,4564,exponential,5
5,5,20,50,4564,exponential,5
5,6,15,85,4564,exponential,5
5,7,2,73,4564,exponential,5
5,8,6,70,4564,exponential,5
5,9,17,80,4564,exponential,5
5,10,80,92,4564,exponential,5
5,11,11,74,4564,exponential,5
5,12,2,83,4564,exponential,5
5,13,24,85,4564,exponential,5
5,14,22,66,4564,exponential,5
5,15,23,96,4564,exponential,5
5,16,20,81,4564,exponential,5
5,17,23,51,4564,exponential,5
5,18,6,94,4564,exponential,5
5,19,12,70,4564,exponential,5
5,20,13,62,4564,exponential,5
5,21,15,95,4564,exponential,5
5,22,14,71,4564,exponential,5
5,23,96,89,4564,exponential,5
5,24,95,65,4564,exponential,5
5,25,19,66,4564,exponential,5
5,26,20,79,4564,exponential,5
5,27,21,60,4564,exponential,5
5,28,6,50,4564,exponential,5
5,29,21,95,4564,exponential,5
5,30,20,66,4564,exponential,5
5,31,19,95,4564,exponential,5
5,32,18,85,4564,exponential,5
5,33,2,50,4564,exponential,5
5,34,23,64,4564,exponential,5
5,35,12,65,4564,exponential,5
5,36,16,54,4564,exponential,5
5,37,3,70,4564,exponential,5
5,38,1,78,4564,exponential,5
5,39,9,60,4564,exponential,5
5,40,7,73,4564,exponential,5
5,41,79,67,4564,exponential,5
5,42,8,52,4564,exponential,5
5,43,2,50,4564,exponential,5
5,44,11,56,4564,exponential,5
5,45,9,80,4564,exponential,5
5,46,22,99,4564,exponential,5
5,47,13,66,4564,exponential,5
5,48,8,96,4564,exponential,5
5,49,81,91,4564,exponential,5
5,50,66,70,4564,exponential,5
5,51,18,94,4564,exponential,5
5,52,21,94,4564,exponential,5
5,53,1,71,4564,exponential,5
5,54,2,52,4564,exponential,5
5,55,5,88,4564,exponential,5
5,56,12,81,4564,exponential,5
5,57,19,77,4564,exponential,5
5,58,4,91,4564,exponential,5
5,59,3,66,4564,exponential,5
5,60,6,97,4564,exponential,5
5,61,6,86,4564,exponential,5
5,62,99,55,4564,exponential,5
5,63,22,66,4564,exponential,5
5,64,7,78,4564,exponential,5
5,65,81,91,4564,exponential,5
5,66,24,75,4564,exponential,5
5,67,3,76,4564,exponential,5
5,68,9,81,4564,exponential,5
5,69,19,92,4564,exponential,5
5,70,56,87,4564,exponential,5
5,71,9,73,4564,exponential,5
5,72,21,75,4564,exponential,5
5,73,2,91,4564,exponential,5
5,74,5,82,4564,exponential,5
5,75,22,64,4564,exponential,5
5,76,4,55,4564,exponential,5
5,77,2,56,4564,exponential,5
5,78,3,56,4564,exponential,5
5,79,9,96,4564,exponential,5
5,80,13,81,4564,exponential,5
5,81,13,65,4564,exponential,5
5,82,13,53,4564,exponential,5
5,83,11,73,4564,exponential,5
5,84,13,63,4564,exponential,5
5,85,10,76,4564,exponential,5
5,86,4,94,4564,exponential,5
5,87,10,99,4564,exponential,5
5,88,95,73,4564,exponential,5
5,89,2,84,4564,exponential,5
5,90,21,78,4564,exponential,5
5,91,15,81,4564,exponential,5
5,92,4,62,4564,exponential,5
5,93,15,82,4564,exponential,5
5,94,9,90,4564,exponential,5
5,95,14,70,4564,exponential,5
5,96,24,67,4564,exponential,5
5,97,17,70,4564,exponential,5
5,98,24,74,4564,exponential,5
5,99,17,86,4564,exponential,5
6,0,16,67,3183,uniform,6
6,1,6,67,3183,uniform,6
6,2,15,63,3183,uniform,6
6,3,1,60,3183,uniform,6
6,4,22,92,3183,uniform,6
6,5,78,60,3183,uniform,6
6,6,2,85,3183,uniform,6
6,7,1,82,3183,uniform,6
6,8,20,63,3183,uniform,6
6,9,16,53,3183,uniform,6
6,10,12,86,3183,uniform,6
6,11,4,93,3183,uniform,6
6,12,7,70,3183,uniform,6
6,13,9,82,3183,uniform,6
6,14,6,98,3183,uniform,6
6,15,1,78,3183,uniform,6
6,16,24,58,3183,uniform,6
6,17,51,52,3183,uniform,6
6,18,23,62,3183,uniform,6
6,19,16,99,3183,uniform,6
6,20,4,58,3183,uniform,6
6,21,14,54,3183,uniform,6
6,22,10,73,3183,uniform,6
6,23,3,65,3183,uniform,6
6,24,15,95,3183,uniform,6
6,25,6,53,3183,uniform,6
6,26,15,95,3183,uniform,6
6,27,24,85,3183,uniform,6
6,28,18,77,3183,uniform,6
6,29,11,57,3183,uniform,6
6,30,18,83,3183,uniform,6
6,31,20,52,3183,uniform,6
6,32,4,54,3183,uniform,6
6,33,17,89,3183,uniform,6
6,34,4,74,3183,uniform,6
6,35,10,70,3183,uniform,6
6,36,15,76,3183,uniform,6
6,37,1,92,3183,uniform,6
6,38,23,81,3183,uniform,6
6,39,9,75,3183,uniform,6
6,40,96,52,3183,uniform,6
6,41,1,59,3183,uniform,6
6,42,7,66,3183,uniform,6
6,43,20,53,3183,uniform,6
6,44,21,59,3183,uniform,6
6,45,3,75,3183,uniform,6
6,46,5,94,3183,uniform,6
6,47,63,83,3183,uniform,6
6,48,4,82,3183,uniform,6
6,49,6,63,3183,uniform,6
6,50,13,63,3183,uniform,6
6,51,20,74,3183,uniform,6
6,52,6,51,3183,uniform,6
6,53,13,63,3183,uniform,6
6,54,22,85,3183,uniform,6
6,55,2,91,3183,uniform,6
6,56,11,57,3183,uniform,6
6,57,13,60,3183,uniform,6
6,58,18,84,3183,uniform,6
6,59,7,87,3183,uniform,6
6,60,55,69,3183,uniform,6
6,61,17,55,3183,uniform,6
6,62,23,54,3183,uniform,6
6,63,10,60,3183,uniform,6
6,64,14,79,3183,uniform,6
6,65,19,85,3183,uniform,6
6,66,1,75,3183,uniform,6
6,67,5,59,3183,uniform,6
6,68,6,78,3183,uniform,6
6,69,13,96,3183,uniform,6
6,70,3,54,3183,uniform,6
6,71,3,69,3183,uniform,6
6,72,14,74,3183,uniform,6
6,73,11,88,3183,uniform,6
6,74,19,84,3183,uniform,6
6,75,19,51,3183,uniform,6
6,76,5,88,3183,uniform,6
6,77,87,51,3183,uniform,6
6,78,21,79,3183,uniform,6
6,79,5,86,3183,uniform,6
6,80,17,60,3183,uniform,6
6,81,56,83,3183,uniform,6
6,82,5,70,3183,uniform,6
6,83,2,84,3183,uniform,6
6,84,14,98,3183,uniform,6
6,85,23,83,3183,uniform,6
6,86,6,62,3183,uniform,6
6,87,8,89,3183,uniform,6
6,88,99,84,3183,uniform,6
6,89,10,74,3183,uniform,6
6,90,66,62,3183,uniform,6
6,91,10,84,3183,uniform,6
6,92,5,98,3183,uniform,6
6,93,23,84,3183,uniform,6
6,94,21,78,3183,uniform,6
6,95,23,72,3183,uniform,6
6,96,15,94,3183,uniform,6
6,97,1,85,3183,uniform,6
6,98,1,52,3183,uniform,6
6,99,81,51,3183,uniform,6
7,0,21,95,3507,normal,7
7,1,9,89,3507,normal,7
7,2,19,64,3507,normal,7
7,3,20,76,3507,normal,7
7,4,11,81,3507,normal,7
7,5,18,84,3507,normal,7
7,6,14,57,3507,normal,7
7,7,7,67,3507,normal,7
7,8,9,74,3507,normal,7
7,9,9,52,3507,normal,7
7,10,24,82,3507,normal,7
7,11,19,55,3507,normal,7
7,12,24,53,3507,normal,7
7,13,22,81,3507,normal,7
7,14,14,64,3507,normal,7
7,15,2,58,3507,normal,7
7,16,20,76,3507,normal,7
7,17,4,87,3507,normal,7
7,18,2,81,3507,normal,7
7,19,15,98,3507,normal,7
7,20,16,78,3507,normal,7
7,21,12,53,3507,normal,7
7,22,4,51,3507,normal,7
7,23,15,78,3507,normal,7
7,24,14,73,3507,normal,7
7,25,7,67,3507,normal,7
7,26,7,96,3507,normal,7
7,27,19,66,3507,normal,7
7,28,5,91,3507,normal,7
7,29,21,72,3507,normal,7
7,30,1,96,3507,normal,7
7,31,9,89,3507,normal,7
7,32,11,62,3507,normal,7
7,33,11,57,3507,normal,7
7,34,14,89,3507,normal,7
7,35,75,79,3507,normal,7
7,36,21,89,3507,normal,7
7,37,72,82,3507,normal,7
7,38,20,93,3507,normal,7
7,39,3,52,3507,normal,7
7,40,19,52,3507,normal,7
7,41,20,60,3507,normal,7
7,42,12,86,3507,normal,7
7,43,21,67,3507,normal,7
7,44,4,51,3507,normal,7
7,45,12,68,3507,normal,7
7,46,2,53,3507,normal,7
7,47,6,95,3507,normal,7
7,48,84,98,3507,normal,7
7,49,8,67,3507,normal,7
7,50,4,75,3507,normal,7
7,51,14,57,3507,normal,7
7,52,8,71,3507,normal,7
7,53,24,54,3507,normal,7
7,54,20,95,3507,normal,7
7,55,63,91,3507,normal,7
7,56,16,55,3507,normal,7
7,57,10,63,3507,normal,7
7,58,21,87,3507,normal,7
7,59,6,57,3507,normal,7
7,60,6,55,3507,normal,7
7,61,69,55,3507,normal,7
7,62,13,50,3507,normal,7
7,63,13,99,3507,normal,7
7,64,8,88,3507,normal,7
7,65,5,59,3507,normal,7
7,66,19,83,3507,normal,7
7,67,59,59,3507,normal,7
7,68,18,66,3507,normal,7
7,69,10,69,3507,normal,7
7,70,13,98,3507,normal,7
7,71,7,63,3507,normal,7
7,72,7,85,3507,normal,7
7,73,4,84,3507,normal,7
7,74,10,95,3507,normal,7
7,75,23,95,3507,normal,7
7,76,14,97,3507,normal,7
7,77,81,95,3507,normal,7
7,78,18,51,3507,normal,7
7,79,4,50,3507,normal,7
7,80,21,50,3507,normal,7
7,81,89,51,3507,normal,7
7,82,17,77,3507,normal,7
7,83,5,59,3507,normal,7
7,84,22,62,3507,normal,7
7,85,18,82,3507,normal,7
7,86,10,81,3507,normal,7
7,87,4,89,3507,normal,7
7,88,20,62,3507,normal,7
7,89,5,53,3507,normal,7
7,90,53,99,3507,normal,7
7,91,2,83,3507,normal,7
7,92,20,53,3507,normal,7
7,93,12,65,3507,normal,7
7,94,19,54,3507,normal,7
7,95,93,85,3507,normal,7
7,96,15,73,3507,normal,7
7,97,13,65,3507,normal,7
7,98,10,94,3507,normal,7
7,99,10,59,3507,normal,7
8,0,53,85,2807,uniform,8
8,1,91,57,2807,uniform,8
8,2,3,70,2807,uniform,8
8,3,14,51,2807,uniform,8
8,4,14,71,2807,uniform,8
8,5,10,82,2807,uniform,8
8,6,3,52,2807,uniform,8
8,7,19,55,2807,uniform,8
8,8,10,69,2807,uniform,8
8,9,61,97,2807,uniform,8
8,10,2,72,2807,uniform,8
8,11,9,60,2807,uniform,8
8,12,22,71,2807,uniform,8
8,13,72,66,2807,uniform,8
8,14,17,67,2807,uniform,8
8,15,19,85,2807,uniform,8
8,16,2,51,2807,uniform,8
8,17,12,87,2807,uniform,8
8,18,2,84,2807,uniform,8
8,19,1,63,2807,uniform,8
8,20,21,63,2807,uniform,8
8,21,14,67,2807,uniform,8
8,22,8,84,2807,uniform,8
8,23,18,61,2807,uniform,8
8,24,3,69,2807,uniform,8
8,25,11,85,2807,uniform,8
8,26,15,60,2807,uniform,8
8,27,3,92,2807,uniform,8
8,28,18,58,2807,uniform,8
8,29,3,91,2807,uniform,8
8,30,22,63,2807,uniform,8
8,31,18,99,2807,uniform,8
